grid_version,workload,SLA,best_E,best_R,selected_E,selected_R,exact_set_agreement,overlap,strict_mismatch,comparison,na_reason,selected_equal,selected_E_in_best_R,tie_only_mismatch,abstention,censored_best_set,incomplete_coverage,scores
G0,h101,S1,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h101,S2,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h101,S3,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h101,S4,,"[0,-1,-2]",-1,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.032,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.032,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.032,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""-1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""0"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""1"":{""C_lower"":0.032,""C_upper"":0.032,""identified"":true,""C"":0.032},""2"":{""C_lower"":0.032,""C_upper"":0.032,""identified"":true,""C"":0.032}}}"
G0,h101,S5,,[-2],0,-2,,[],,undefined,unknown full best set,,False,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.256,""C_upper"":0.256,""identified"":true,""C"":0.256},""-1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""0"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064}}}"
G0,h101,S6,,"[0,-1,1,2]",0,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.6088740429,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.6088740429,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.6088740429,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.6088740429,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.6088740429,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":3.1584477704,""C_upper"":3.1584477704,""identified"":true,""C"":3.1584477704},""-1"":{""C_lower"":3.4443117169,""C_upper"":3.4443117169,""identified"":true,""C"":3.4443117169},""0"":{""C_lower"":3.4443117169,""C_upper"":3.4443117169,""identified"":true,""C"":3.4443117169},""1"":{""C_lower"":3.4443117169,""C_upper"":3.4443117169,""identified"":true,""C"":3.4443117169},""2"":{""C_lower"":3.4443117169,""C_upper"":3.4443117169,""identified"":true,""C"":3.4443117169}}}"
G0,h102,S1,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h102,S2,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h102,S3,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h102,S4,,"[0,-1,1,-2]",0,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.016,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.016,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""-1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""0"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""2"":{""C_lower"":0.016,""C_upper"":0.016,""identified"":true,""C"":0.016}}}"
